seq_len,num_instances,acc,precision,recall,f1,dl_distance
1,190.0,0.5578947368421052,0.31124653739612185,0.5578947368421052,0.3995732574679943,0.5578947368421052
2,158.0,0.7373417721518988,0.5791887994342455,0.7373417721518988,0.6482644837870423,0.7373417721518988
3,133.0,0.7142857142857143,0.7382510601582435,0.7142857142857143,0.6669742574309915,0.7218045112781954
4,143.0,0.8601398601398601,0.8597773754023754,0.8601398601398601,0.8301296413375219,0.8618881118881119
5,150.0,0.8506666666666667,0.8219115828700909,0.8506666666666667,0.8178356199963913,0.8586666666666666
6,130.0,0.8589743589743589,0.8425525254934986,0.8589743589743589,0.8340025564614332,0.867948717948718
7,123.0,0.8408826945412311,0.8140647429601658,0.8408826945412311,0.8181485076634394,0.8559814169570267
8,111.0,0.847972972972973,0.8112880410649661,0.847972972972973,0.8218768935195232,0.8693693693693694
9,99.0,0.8540965207631874,0.8322749989472172,0.8540965207631874,0.83794178910863,0.8810325476992145
10,72.0,0.8638888888888889,0.8359992252517102,0.8638888888888889,0.8461698701689058,0.8861111111111111
11,78.0,0.8857808857808858,0.8717223049232764,0.8857808857808858,0.8743692402689422,0.9055944055944055
12,84.0,0.8422619047619048,0.8201986520695106,0.8422619047619048,0.8252705671528339,0.8680555555555556
13,54.0,0.8518518518518519,0.8288466244621769,0.8518518518518519,0.8358864224538001,0.8817663817663814
14,66.0,0.8777056277056277,0.8652981209146006,0.8777056277056277,0.8662580548959713,0.9058441558441557
15,44.0,0.85,0.824320982861517,0.85,0.8341651903683022,0.896969696969697
16,34.0,0.8933823529411765,0.8784657268797403,0.8933823529411765,0.882888380544485,0.9172794117647058
17,29.0,0.8356997971602435,0.8265628196676456,0.8356997971602435,0.8237605676128295,0.8782961460446247
18,29.0,0.8544061302681992,0.8341374186355494,0.8544061302681992,0.8421897911092115,0.9022988505747128
19,14.0,0.8421052631578947,0.7882203559350167,0.8421052631578947,0.8087981418445048,0.8533834586466167
20,14.0,0.8321428571428572,0.7979735950380469,0.8321428571428572,0.8023583821919041,0.8571428571428571
21,16.0,0.8452380952380952,0.8207467742729012,0.8452380952380952,0.824174545265601,0.8720238095238095
22,22.0,0.8367768595041323,0.8213437899988743,0.8367768595041323,0.8118449515751474,0.8615702479338844
23,12.0,0.8768115942028986,0.8415811273986575,0.8768115942028986,0.8500861457383195,0.898550724637681
24,8.0,0.8385416666666666,0.7786618644550843,0.8385416666666666,0.7937149905137554,0.8489583333333334
25,6.0,0.8933333333333333,0.8741747621747622,0.8933333333333333,0.8789124114421414,0.9199999999999999
26,8.0,0.7884615384615384,0.7724051626667906,0.7884615384615384,0.7272885288237583,0.8076923076923077
27,7.0,0.9047619047619048,0.885340792294685,0.9047619047619048,0.8881016629315304,0.9153439153439152
28,6.0,0.8869047619047619,0.9081716476294789,0.8869047619047619,0.8557673603609353,0.8869047619047619
29,3.0,0.7701149425287356,0.6085192697768762,0.7701149425287356,0.6766788766788766,0.7701149425287356
30,3.0,0.9,0.8784722222222222,0.9,0.8804139979578575,0.9111111111111111
31,4.0,0.8306451612903226,0.7463759612503745,0.8306451612903226,0.7841583058166116,0.8548387096774194
33,1.0,0.9696969696969697,0.9712121212121211,0.9696969696969697,0.9695243028576361,0.9696969696969697
35,1.0,0.8571428571428571,0.8798757763975155,0.8571428571428571,0.8123165055495883,0.8571428571428572
36,3.0,0.8518518518518519,0.7579247762174591,0.8518518518518519,0.7952710057973216,0.851851851851852
40,3.0,0.9083333333333333,0.834985754985755,0.9083333333333333,0.869392933629711,0.9083333333333332
42,1.0,0.8809523809523809,0.7765106042416965,0.8809523809523809,0.8253205128205129,0.8809523809523809
43,1.0,0.9302325581395349,0.9354651162790698,0.9302325581395349,0.9106614315916641,0.9302325581395349
46,2.0,0.8695652173913043,0.8462114051669817,0.8695652173913043,0.8471266758965015,0.8804347826086957
51,1.0,0.9411764705882353,0.9478609625668449,0.9411764705882353,0.9312683212820011,0.9411764705882353
52,1.0,0.8653846153846154,0.7913355874894337,0.8653846153846154,0.8195550825985609,0.8653846153846154
55,1.0,0.9818181818181818,0.990909090909091,0.9818181818181818,0.9835497835497835,0.9818181818181818
59,1.0,0.9491525423728814,0.9529297820823244,0.9491525423728814,0.938850898899325,0.9491525423728814
71,1.0,0.9014084507042254,0.8243609806990088,0.9014084507042254,0.8611070507410045,0.9014084507042254
73,1.0,0.5616438356164384,0.42665006226650065,0.5616438356164384,0.43968451639684514,0.5753424657534247
