seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy
5.0,0.8,0.8,1.0,0.888888888888889,0.8,0.8,0.8,0.9,0.92,0.8,0.8,0.8,0.7276334621742959
7.0,0.7142857142857143,0.7142857142857143,1.0,0.8326530612244899,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.8095238095238096,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7927120377598456
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
13.0,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.8823529411764706,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.9692307692307692,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9042837211011017
9.0,0.6666666666666666,0.6666666666666666,0.7407407407407408,0.692063492063492,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.9481481481481482,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9841202280292304
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,0.875,0.875,0.9375,0.891025641025641,0.875,0.875,0.875,0.9375,0.95,0.875,0.875,0.875,0.9157237009246542
15.0,0.9333333333333333,0.9333333333333333,0.8711111111111111,0.9011494252873563,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9555555555555556,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.8442081900479188
17.0,0.8823529411764706,0.8823529411764706,0.9607843137254901,0.9072398190045248,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9411764705882353,0.9529411764705882,0.8823529411764706,0.5882352941176471,0.8823529411764706,0.9129108995472734
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,0.8571428571428571,0.8571428571428571,0.8928571428571429,0.8571428571428571,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.9285714285714286,0.9333333333333333,0.8571428571428572,0.8571428571428572,0.8571428571428571,0.99255911011051
6.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.7407407407407408,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8333333333333334,0.9333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8264236105193943
20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7755102040816327,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.9333333333333333,0.8571428571428572,0.8571428571428572,0.8571428571428571,0.8731598047948066
13.0,0.7692307692307693,0.7692307692307693,0.8076923076923077,0.778021978021978,0.8461538461538461,0.8461538461538461,0.7692307692307692,0.8846153846153846,0.9692307692307692,0.9230769230769231,0.6923076923076923,0.9230769230769231,0.9904884780623311
