seq_len,acc,recall,precision,f1,levenshtein,damerau_levenshtein,local_alignment,global_alignment,emph_start,longest_subsequence,longest_substring,overlap,entropy
8.0,0.625,0.625,0.75,0.6785714285714286,0.75,0.75,0.75,0.8125,0.9416666666666667,0.875,0.875,0.875,0.9611124806152731
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
7.0,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.8634920634920634,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.9285714285714286,0.9428571428571428,0.8571428571428572,0.8571428571428572,0.8571428571428571,0.9611302153624783
14.0,0.9285714285714286,0.9285714285714286,0.9464285714285714,0.9319727891156463,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9642857142857143,0.9666666666666667,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9668927130963361
7.0,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.7777777777777778,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.8571428571428571,0.9047619047619048,0.8571428571428572,0.8571428571428572,0.8571428571428571,0.8591730380334762
11.0,0.7272727272727273,0.7272727272727273,0.9090909090909091,0.8068181818181818,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8636363636363636,0.8787878787878789,0.8181818181818181,0.8181818181818181,0.8181818181818182,0.7982164851773704
7.0,0.8571428571428571,0.8571428571428571,1.0,0.923076923076923,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.9285714285714286,0.9428571428571428,0.8571428571428572,0.8571428571428572,0.8571428571428571,0.7667659259891815
11.0,0.7272727272727273,0.7272727272727273,0.9090909090909091,0.797979797979798,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8636363636363636,0.8787878787878789,0.8181818181818181,0.7272727272727273,0.8181818181818182,0.8799671903994114
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.6666666666666666,0.6666666666666666,1.0,0.8000000000000002,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8333333333333334,0.8222222222222222,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.66114589308445
9.0,0.6666666666666666,0.6666666666666666,0.7407407407407408,0.6888888888888889,0.7777777777777778,0.7777777777777778,0.6666666666666667,0.8333333333333334,0.9555555555555556,0.8888888888888888,0.6666666666666667,0.8888888888888888,0.9945751604429421
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,0.8,0.8,1.0,0.888888888888889,0.8,0.8,0.8,0.9,0.92,0.8,0.8,0.8,0.7276334621742959
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.5,0.5,0.5943609377704335
10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
20.0,0.9,0.9,0.95,0.9236842105263158,0.9,0.9,0.9,0.95,0.98,0.95,0.95,0.95,0.9359146924363074
6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.5,0.5,0.5943609377704335
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,0.875,0.875,0.9375,0.888888888888889,0.875,0.875,0.875,0.9375,0.95,0.875,0.75,0.875,0.9516232891567663
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28.0,0.8928571428571429,0.8928571428571429,0.9107142857142857,0.8996598639455782,0.9285714285714286,0.9285714285714286,0.8928571428571429,0.9464285714285714,0.9857142857142858,0.9642857142857143,0.9285714285714286,0.9642857142857143,0.9882157606805365
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,0.8,0.8,1.0,0.888888888888889,0.8,0.8,0.8,0.9,0.92,0.8,0.8,0.8,0.7276334621742959
28.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6.0,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909091,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.9333333333333333,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7492053169251874
16.0,0.8125,0.8125,0.8458333333333334,0.8132936507936508,0.8125,0.8125,0.8125,0.90625,0.9333333333333333,0.875,0.75,0.875,0.9722707105898241
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10.0,0.8,0.8,0.85,0.8121212121212121,0.8,0.8,0.8,0.9,0.96,0.9,0.9,0.9,0.9555233016408066
10.0,0.7,0.7,0.8,0.7444444444444445,0.8,0.8,0.8,0.85,0.96,0.9,0.9,0.9,0.9616351386533927
5.0,0.8,0.8,0.9,0.819047619047619,0.8,0.8,0.8,0.9,0.9066666666666667,0.8,0.8,0.8,0.9191441912386324
11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,0.875,0.875,0.9166666666666666,0.8818181818181818,0.875,0.875,0.875,0.9375,0.95,0.875,0.875,0.875,0.9566318903843393
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18.0,0.8333333333333334,0.8333333333333334,0.8703703703703703,0.8488888888888889,0.8888888888888888,0.8888888888888888,0.8333333333333334,0.9166666666666666,0.9777777777777777,0.9444444444444444,0.8333333333333334,0.9444444444444444,0.9710588768134931
17.0,0.7058823529411765,0.7058823529411765,0.7647058823529411,0.7294117647058824,0.8823529411764706,0.8823529411764706,0.8823529411764706,0.9117647058823529,0.9686274509803922,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.9960436553886679
12.0,0.4166666666666667,0.4166666666666667,0.5625,0.4672619047619048,0.6666666666666667,0.6666666666666667,0.5833333333333333,0.7916666666666666,0.888888888888889,0.8333333333333334,0.6666666666666667,0.8333333333333334,0.9336519497860972
8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,0.8,0.8,1.0,0.8800000000000001,0.8,0.8,0.8,0.9,0.92,0.8,0.8,0.8,0.8453510812700503
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,0.5,0.5,1.0,0.6666666666666666,0.5,0.5,0.5,0.75,0.6666666666666666,0.5,0.5,0.5,0.5943609377704335
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
7.0,0.8571428571428571,0.8571428571428571,0.8928571428571429,0.8530612244897959,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.9285714285714286,0.9333333333333333,0.8571428571428572,0.7142857142857143,0.8571428571428571,0.9784480342140945
28.0,0.75,0.75,0.7602040816326531,0.7510582010582011,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9464285714285714,0.980952380952381,0.9642857142857143,0.9642857142857143,0.9642857142857143,0.9804098608575346
6.0,0.6666666666666666,0.6666666666666666,0.7083333333333334,0.6507936507936507,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8333333333333334,0.9,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9459966047453893
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.6666666666666666,0.6666666666666666,1.0,0.8000000000000002,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8333333333333334,0.8222222222222222,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.66114589308445
9.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7179487179487178,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.9555555555555556,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.939000500267163
3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,0.75,0.75,1.0,0.8571428571428571,0.75,0.75,0.75,0.875,0.8833333333333334,0.75,0.75,0.75,0.6999000673284724
13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9.0,0.6666666666666666,0.6666666666666666,0.7777777777777778,0.7160493827160495,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8333333333333334,0.9555555555555556,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9575166580335909
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21.0,0.8571428571428571,0.8571428571428571,0.9285714285714286,0.8883553421368549,0.8571428571428572,0.8571428571428572,0.8571428571428572,0.9285714285714286,0.9365079365079364,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.8908566292385752
4.0,0.75,0.75,1.0,0.8571428571428571,0.75,0.75,0.75,0.875,0.8833333333333334,0.75,0.75,0.75,0.6999000673284724
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
51.0,0.9411764705882353,0.9411764705882353,0.953781512605042,0.946712802768166,0.9411764705882353,0.9607843137254902,0.9411764705882353,0.9705882352941176,0.988156862745098,0.9607843137254902,0.5882352941176471,0.9803921568627451,0.9786497923387196
5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
19.0,0.9473684210526315,0.9473684210526315,0.9578947368421052,0.9493849566444849,0.9473684210526316,0.9473684210526316,0.9473684210526316,0.9736842105263158,0.9789473684210526,0.9473684210526316,0.9473684210526316,0.9473684210526315,0.9741947338003683
5.0,0.8,0.8,1.0,0.888888888888889,0.8,0.8,0.8,0.9,0.92,0.8,0.8,0.8,0.7276334621742959
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3.0,0.6666666666666666,0.6666666666666666,1.0,0.8000000000000002,0.6666666666666667,0.6666666666666667,0.6666666666666667,0.8333333333333334,0.8222222222222222,0.6666666666666667,0.6666666666666667,0.6666666666666666,0.66114589308445
