seq_len,num_instances,acc,precision,recall,f1,dl_distance
1,204.0,0.5931372549019608,0.6131120416019451,0.5931372549019608,0.5520332464009208,0.5931372549019608
2,150.0,0.8533333333333334,0.7849699138071231,0.8533333333333334,0.8176933278361851,0.8533333333333334
3,138.0,0.8140096618357487,0.8407973047337528,0.8140096618357487,0.7722289904233262,0.8285024154589372
4,144.0,0.8559027777777778,0.8531495401101999,0.8559027777777778,0.8231254613953639,0.8576388888888888
5,151.0,0.8370860927152318,0.8150353641770512,0.8370860927152318,0.8060783017475187,0.8490066225165562
6,125.0,0.836,0.8236608553961781,0.836,0.8066593244109415,0.8466666666666669
7,117.0,0.8290598290598291,0.8207696848240587,0.8290598290598291,0.8074026605660879,0.8424908424908425
8,106.0,0.8797169811320755,0.8615234028924776,0.8797169811320755,0.858573933386358,0.8891509433962265
9,113.0,0.8593903638151426,0.8310748353154315,0.8593903638151426,0.834446234189751,0.8761061946902655
10,70.0,0.8914285714285715,0.879332259728761,0.8914285714285715,0.8795360101454817,0.9057142857142856
11,67.0,0.8738127544097694,0.8551788476476584,0.8738127544097694,0.8577612211282114,0.8982360922659431
12,74.0,0.8569819819819819,0.8324690270853302,0.8569819819819819,0.8386558440906268,0.8783783783783784
13,66.0,0.8881118881118881,0.8706758936271868,0.8881118881118881,0.8730951116143202,0.9079254079254079
14,52.0,0.8722527472527473,0.8457299487842475,0.8722527472527473,0.8538684571688085,0.8997252747252745
15,43.0,0.8651162790697674,0.8409991386735572,0.8651162790697674,0.847256651362719,0.8992248062015503
16,36.0,0.8541666666666666,0.8343904007117635,0.8541666666666666,0.8375479040085808,0.8784722222222222
17,26.0,0.8506787330316742,0.8324155902142449,0.8506787330316742,0.8310359960054744,0.8823529411764706
18,30.0,0.8444444444444444,0.8129716057878128,0.8444444444444444,0.8214046496626575,0.875925925925926
19,19.0,0.8781163434903048,0.8601080303057959,0.8781163434903048,0.8595538482347767,0.89196675900277
20,14.0,0.8857142857142857,0.8690469457013575,0.8857142857142857,0.8719753424825436,0.9178571428571427
21,18.0,0.828042328042328,0.8085944140940396,0.828042328042328,0.8141588538782467,0.8835978835978836
22,13.0,0.8181818181818182,0.8018346118033359,0.8181818181818182,0.8037905166351869,0.8706293706293705
23,15.0,0.8260869565217391,0.8040559097907225,0.8260869565217391,0.8096710881943003,0.8811594202898549
24,10.0,0.8833333333333333,0.8771135686019407,0.8833333333333333,0.8750929563280588,0.9125
25,13.0,0.8369230769230769,0.8158540226677934,0.8369230769230769,0.821465987557676,0.8953846153846157
26,11.0,0.7902097902097902,0.7699068542793238,0.7902097902097902,0.7698215582581018,0.8636363636363638
27,4.0,0.8611111111111112,0.8423414081079587,0.8611111111111112,0.849344426793862,0.9074074074074074
28,3.0,0.9166666666666666,0.8738816738816739,0.9166666666666666,0.8937074829931971,0.9285714285714287
29,5.0,0.9172413793103448,0.915605941694871,0.9172413793103448,0.9062236021582346,0.9172413793103449
30,5.0,0.8933333333333333,0.8815319741259312,0.8933333333333333,0.885139456875631,0.9266666666666667
31,2.0,0.9838709677419355,0.9848790322580645,0.9838709677419355,0.9840443981963233,0.9838709677419355
33,1.0,0.8181818181818182,0.6735209235209235,0.8181818181818182,0.7377302436125966,0.8181818181818181
34,1.0,1.0,1.0,1.0,1.0,1.0
35,3.0,0.8571428571428571,0.8479213907785336,0.8571428571428571,0.8377619765855061,0.8857142857142857
36,5.0,0.8333333333333334,0.8102573197300599,0.8333333333333334,0.8131256277262386,0.8944444444444443
38,1.0,0.8421052631578947,0.857309941520468,0.8421052631578947,0.8442094608992115,0.9210526315789473
39,1.0,0.8974358974358975,0.8733974358974359,0.8974358974358975,0.8850289495450786,0.9487179487179487
40,4.0,0.825,0.7635578165374677,0.825,0.7927878636682529,0.85625
41,3.0,0.8373983739837398,0.7869816219170594,0.8373983739837398,0.8040692460334924,0.8861788617886179
42,1.0,0.8809523809523809,0.7761904761904761,0.8809523809523809,0.8252303252303251,0.8809523809523809
49,1.0,0.9387755102040817,0.886128364389234,0.9387755102040817,0.910657596371882,0.9387755102040817
55,1.0,0.9818181818181818,0.9672727272727273,0.9818181818181818,0.9737373737373738,0.9818181818181818
61,1.0,0.9016393442622951,0.8865841418534626,0.9016393442622951,0.8816132637853948,0.9016393442622951
68,1.0,0.9411764705882353,0.8892494929006085,0.9411764705882353,0.913656690746474,0.9411764705882353
