seq_len,num_instances,acc,recall,precision,f1
1,190.0,0.5736842105263158,0.5736842105263158,0.5956284153005464,0.5844504021447721
2,162.0,0.7561728395061729,0.7561728395061729,0.7608695652173914,0.758513931888545
3,153.0,0.775599128540305,0.775599128540305,0.7841409691629956,0.7798466593647316
4,141.0,0.8404255319148937,0.8404255319148937,0.8419182948490231,0.8411712511091394
5,135.0,0.8355555555555556,0.8355555555555556,0.8380386329866271,0.8367952522255192
6,154.0,0.8560606060606061,0.8560606060606061,0.8560606060606061,0.8560606060606061
7,110.0,0.812987012987013,0.812987012987013,0.812987012987013,0.8129870129870129
8,99.0,0.8295454545454546,0.8295454545454546,0.8295454545454546,0.8295454545454547
9,107.0,0.8587746625129803,0.8587746625129803,0.8596673596673596,0.8592207792207793
10,73.0,0.8589041095890411,0.8589041095890411,0.8589041095890411,0.8589041095890411
11,73.0,0.8717310087173101,0.8717310087173101,0.8717310087173101,0.8717310087173101
12,72.0,0.8807870370370371,0.8807870370370371,0.8807870370370371,0.8807870370370371
13,68.0,0.8597285067873304,0.8597285067873304,0.8597285067873304,0.8597285067873304
14,57.0,0.8408521303258145,0.8408521303258145,0.8408521303258145,0.8408521303258145
15,45.0,0.8325925925925926,0.8325925925925926,0.8325925925925926,0.8325925925925926
16,37.0,0.8631756756756757,0.8631756756756757,0.8631756756756757,0.8631756756756757
17,24.0,0.8431372549019608,0.8431372549019608,0.8431372549019608,0.8431372549019607
18,33.0,0.8417508417508418,0.8417508417508418,0.8445945945945946,0.8431703204047217
19,17.0,0.8699690402476781,0.8699690402476781,0.8699690402476781,0.8699690402476781
20,13.0,0.8730769230769231,0.8730769230769231,0.8730769230769231,0.873076923076923
21,25.0,0.8571428571428571,0.8571428571428571,0.8604206500956023,0.8587786259541985
22,11.0,0.8140495867768595,0.8140495867768595,0.8140495867768595,0.8140495867768595
23,11.0,0.7984189723320159,0.7984189723320159,0.7984189723320159,0.7984189723320159
24,7.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
25,13.0,0.796923076923077,0.796923076923077,0.796923076923077,0.796923076923077
26,8.0,0.8365384615384616,0.8365384615384616,0.8365384615384616,0.8365384615384616
27,5.0,0.8814814814814815,0.8814814814814815,0.8814814814814815,0.8814814814814815
28,2.0,0.7678571428571429,0.7678571428571429,0.7678571428571429,0.7678571428571429
29,2.0,0.8103448275862069,0.8103448275862069,0.8103448275862069,0.8103448275862069
30,4.0,0.9083333333333333,0.9083333333333333,0.9083333333333333,0.9083333333333333
31,3.0,0.8709677419354839,0.8709677419354839,0.8709677419354839,0.8709677419354839
32,1.0,0.65625,0.65625,0.65625,0.65625
37,1.0,0.918918918918919,0.918918918918919,0.918918918918919,0.918918918918919
39,2.0,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.8974358974358975
40,1.0,0.775,0.775,0.775,0.775
42,2.0,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429
43,1.0,0.8604651162790697,0.8604651162790697,0.8604651162790697,0.8604651162790697
44,1.0,0.8409090909090909,0.8409090909090909,0.8409090909090909,0.8409090909090909
51,3.0,0.8627450980392157,0.8627450980392157,0.8627450980392157,0.8627450980392157
54,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
61,1.0,0.9344262295081968,0.9344262295081968,0.9344262295081968,0.9344262295081968
